comuna,pobreza_d,pobreza_ext_d,pobreza_multi_4d,pobreza_multi_5d
7103,.13881718,.061957289,.2579407886851253,.321826681049982
7104,.15912719,.022618415,.354951560818084,.3902045209903122
7105,.1016575,0,.3445276844915181,.3445276844915181
7106,.16589031,.014124718,.3264066496163683,.3027862779835722
7107,.05414119,0,.2804710724902812,.38291790532815
7108,.088972434,.003132832,.2678391959798995,.3111390284757119
7109,.15625559,.05498071,.3629752152909053,.3801459777357698
7110,.025620496,0,.1910535609181872,.215422276621787
7201,.19798139,.060653668,.2490899763027386,.2430802342459583
7202,.20612843,.054873411,.4126984126984127,.4770849835917166
7203,.25873956,.088423856,.2494521077736238,.299974140160331
7301,.091353573,.023511339,.1341623082470401,.146133258205381
7302,.2347593,.051679585,.0950434338272867,.1402153812683564
7303,.24943879,.066024035,.1655590869690841,.2263204485098849
7304,.10465628,.059158582,.1270149072839656,.132177917828142
7305,.18511225,.064986214,.2126356505855807,.2388524766304932
7306,.10345979,.032727759,.1925208727987091,.2348979162281625
7307,.11408257,.065265842,.1033977738722906,.1391097922848665
7308,.064271078,.027701223,.1520187454938717,.198646741686869
7309,.16062725,.00063572789,.3808076422058185,.4544072948328268
7401,.10866778,.020121248,.2128722108197693,.2353745276728162
7402,.30231935,.032138839,.3058345559191965,.3498476469924388
7403,.27487123,.041489996,.4019039119440726,.4204596162427487
7404,.16739064,.03833019,.2081065072067244,.2242312597421
7405,.27012876,.053532928,.3004988318494665,.3298345031875845
7406,.20133156,.052172862,.2164496713591377,.2587574605253217
7407,.20725425,.014607296,.3318043892456425,.3318043892456425
7408,.24826662,.06158597,.2665730501433503,.3640512550465157
8101,.092616141,.03037928,.1119021307298183,.1282327980392874
8102,.10715592,.024274044,.1335482284329053,.1469953775038521
8103,.097778998,.036940333,.161940974848553,.1610551205783947
8104,.18126027,.046027396,.4116662948918135,.5178451929511488
8105,.12930611,.021694554,.1800042634832658,.2012364101470902
8106,.17468075,.038705416,.1663720824835713,.1914570586902334
8107,.06954024,.028191989,.1629307879307879,.1827363077363077
8108,.14231767,.060960837,.147967385199388,.1498363449731761
8109,.13918138,.055613227,.2664080918701042,.29637234770705
8110,.073198929,.021394851,.1528226992061159,.1765417096283203
8111,.068393327,.0079016685,.1937703277458094,.2225082484318915
8112,.099359415,.021593383,.1155775719358548,.1101563191083366
8201,.11342481,.01709196,.3074010747435271,.3472131681877444
8202,.16447353,.076770321,.1598472449536279,.1896325020614651
8203,.14619644,.044360247,.1634300421151146,.1831422554983622
8204,.27202013,.054221001,.224204987417067,.269732326698696
8205,.11397917,.023339255,.1014554642183552,.1101740151596029
8206,.13761845,.06894657,.2790663749088257,.2795221027479092
8207,.26036453,.073266618,.2864140480591497,.3108133086876155
8301,.1680381,.041644789,.1306412258442319,.1545949320172444
8302,.38228229,.2012012,.1715596330275229,.1715596330275229
8303,.091263317,.02806697,.0972867115196311,.1294467654133435
8304,.16945069,.041867439,.2190229334535415,.2521538714810953
8305,.14107543,.027184466,.2320973348783314,.2561993047508691
8306,.15650108,.065743126,.2084395110784779,.2833033961318351
8307,.13366504,.056315731,.1705944424903271,.1836589698046181
8308,.22518159,.0078692492,.2759790317607154,.2923219241443108
8309,.17286171,.029776178,.2138674884437596,.2439100238416088
8310,.1940625,.069375001,.0740078655702539,.1175413371675054
8311,.15854979,.011972402,.1371753246753247,.2025690342079956
8312,.15963545,.024915479,.2058867362146051,.2181073025335321
8313,.26305979,.11339479,.2136296133326,.2758924151586821
8314,.37510622,.21877655,.4707764505119454,.6075085324232082
9101,.09945564,.014651104,.1500387772947352,.1589264127084241
9102,.22440696,.090024948,.4769769989047097,.5170047076422192
9103,.17391305,.029022859,.2658440158140649,.3467919004635277
9104,.20373879,.03524062,.4305647840531561,.600531561461794
9105,.24474843,.084277771,.3191315194511577,.347229862475442
9106,.38983744,.096615888,.4249215113131969,.6065822236656924
9107,.092314899,0,.2334054582257276,.2705381447616388
9108,.14749424,.056201339,.1215405182467219,.1298176750007111
9109,.299353,.082876474,.2783505154639175,.3121771595151639
9110,.25933126,.056959566,.3471882640586797,.4752167148255168
9111,.16880111,.019717239,.4230832214325484,.4655200708963797
9112,.18995887,.06946528,.2896256574198205,.341791553133515
9113,.1886574,.036168981,.2838000602228244,.3273110508882867
9114,.078221813,.018713353,.2513532090385772,.2847753243405791
9115,.063907996,.0042535313,.2290555036030585,.2600287324566251
