region_id,region_nombre,comuna_id,comuna_nombre,candidato,votos_preliminar,total_votos,p_votos
3005,DE VALPARAISO,2551,RINCONADA,MARCO ENRIQUEZ-OMINAMI GUMUCIO,375,5217,.071880393
3005,DE VALPARAISO,2551,RINCONADA,SEBASTIAN SICHEL RAMIREZ,644,5217,.12344259
3005,DE VALPARAISO,2551,RINCONADA,Total Sufragios Emitidos,5217,5217,1
3005,DE VALPARAISO,2551,RINCONADA,Total Suma Calculada,5217,5217,1
3005,DE VALPARAISO,2551,RINCONADA,Votos Blancos,27,5217,.005175388
3005,DE VALPARAISO,2551,RINCONADA,Votos Nulos,24,5217,.0046003452
3005,DE VALPARAISO,2551,RINCONADA,YASNA PROVOSTE CAMPILLAY,710,5217,.13609354
3005,DE VALPARAISO,2552,SAN ESTEBAN,EDUARDO ARTES BRICHETTI,93,8402,.011068793
3005,DE VALPARAISO,2552,SAN ESTEBAN,FRANCO PARISI FERNANDEZ,1793,8402,.21340157
3005,DE VALPARAISO,2552,SAN ESTEBAN,GABRIEL BORIC FONT,1726,8402,.20542727
3005,DE VALPARAISO,2552,SAN ESTEBAN,JOSE ANTONIO KAST RIST,1816,8402,.21613902
3005,DE VALPARAISO,2552,SAN ESTEBAN,MARCO ENRIQUEZ-OMINAMI GUMUCIO,594,8402,.070697457
3005,DE VALPARAISO,2552,SAN ESTEBAN,SEBASTIAN SICHEL RAMIREZ,1006,8402,.11973339
3005,DE VALPARAISO,2552,SAN ESTEBAN,Total Sufragios Emitidos,8402,8402,1
3005,DE VALPARAISO,2552,SAN ESTEBAN,Total Suma Calculada,8402,8402,1
3005,DE VALPARAISO,2552,SAN ESTEBAN,Votos Blancos,43,8402,.005117829
3005,DE VALPARAISO,2552,SAN ESTEBAN,Votos Nulos,90,8402,.010711735
3005,DE VALPARAISO,2552,SAN ESTEBAN,YASNA PROVOSTE CAMPILLAY,1240,8402,.1475839
3005,DE VALPARAISO,2553,LA LIGUA,EDUARDO ARTES BRICHETTI,195,14353,.01358601
3005,DE VALPARAISO,2553,LA LIGUA,FRANCO PARISI FERNANDEZ,2257,14353,.15724936
3005,DE VALPARAISO,2553,LA LIGUA,GABRIEL BORIC FONT,4229,14353,.29464224
3005,DE VALPARAISO,2553,LA LIGUA,JOSE ANTONIO KAST RIST,3165,14353,.22051139
3005,DE VALPARAISO,2553,LA LIGUA,MARCO ENRIQUEZ-OMINAMI GUMUCIO,1079,14353,.075175919
3005,DE VALPARAISO,2553,LA LIGUA,SEBASTIAN SICHEL RAMIREZ,1680,14353,.1170487
3005,DE VALPARAISO,2553,LA LIGUA,Total Sufragios Emitidos,14353,14353,1
3005,DE VALPARAISO,2553,LA LIGUA,Total Suma Calculada,14353,14353,1
3005,DE VALPARAISO,2553,LA LIGUA,Votos Blancos,59,14353,.004110639
3005,DE VALPARAISO,2553,LA LIGUA,Votos Nulos,114,14353,.0079425909
3005,DE VALPARAISO,2553,LA LIGUA,YASNA PROVOSTE CAMPILLAY,1896,14353,.13209783
3005,DE VALPARAISO,2554,CABILDO,EDUARDO ARTES BRICHETTI,101,7885,.012809131
3005,DE VALPARAISO,2554,CABILDO,FRANCO PARISI FERNANDEZ,1308,7885,.16588458
3005,DE VALPARAISO,2554,CABILDO,GABRIEL BORIC FONT,2322,7885,.29448318
3005,DE VALPARAISO,2554,CABILDO,JOSE ANTONIO KAST RIST,1427,7885,.18097654
3005,DE VALPARAISO,2554,CABILDO,MARCO ENRIQUEZ-OMINAMI GUMUCIO,680,7885,.086239696
3005,DE VALPARAISO,2554,CABILDO,SEBASTIAN SICHEL RAMIREZ,663,7885,.084083706
3005,DE VALPARAISO,2554,CABILDO,Total Sufragios Emitidos,7885,7885,1
3005,DE VALPARAISO,2554,CABILDO,Total Suma Calculada,7885,7885,1
3005,DE VALPARAISO,2554,CABILDO,Votos Blancos,42,7885,.0053265695
3005,DE VALPARAISO,2554,CABILDO,Votos Nulos,76,7885,.0096385544
3005,DE VALPARAISO,2554,CABILDO,YASNA PROVOSTE CAMPILLAY,1258,7885,.15954344
3005,DE VALPARAISO,2555,PAPUDO,EDUARDO ARTES BRICHETTI,34,3639,.0093432264
3005,DE VALPARAISO,2555,PAPUDO,FRANCO PARISI FERNANDEZ,458,3639,.12585875
3005,DE VALPARAISO,2555,PAPUDO,GABRIEL BORIC FONT,869,3639,.23880187
3005,DE VALPARAISO,2555,PAPUDO,JOSE ANTONIO KAST RIST,904,3639,.2484199
3005,DE VALPARAISO,2555,PAPUDO,MARCO ENRIQUEZ-OMINAMI GUMUCIO,195,3639,.053586151
3005,DE VALPARAISO,2555,PAPUDO,SEBASTIAN SICHEL RAMIREZ,658,3639,.1808189
3005,DE VALPARAISO,2555,PAPUDO,Total Sufragios Emitidos,3639,3639,1
3005,DE VALPARAISO,2555,PAPUDO,Total Suma Calculada,3639,3639,1
3005,DE VALPARAISO,2555,PAPUDO,Votos Blancos,10,3639,.0027480077
3005,DE VALPARAISO,2555,PAPUDO,Votos Nulos,14,3639,.0038472107
3005,DE VALPARAISO,2555,PAPUDO,YASNA PROVOSTE CAMPILLAY,497,3639,.13657598
3005,DE VALPARAISO,2556,PETORCA,EDUARDO ARTES BRICHETTI,54,4167,.012958963
